MSR_DT,STTN_NM,PM25,PM10,O3,CO,SO2,NO2,Month,Hour
2023-03-26 19:00:00,삼방동,19.0,67.0,0.05,0.3,0.002,0.011,3.0,19.0
2023-01-19 22:00:00,삼방동,,,0.017,,,0.025,1.0,22.0
2023-01-04 22:00:00,삼방동,14.0,26.0,0.013,0.4,0.003,0.03,1.0,22.0
2023-10-04 20:00:00,삼방동,11.0,19.0,0.032,0.32,0.002,0.011,10.0,20.0
2023-06-30 19:00:00,삼방동,4.0,9.0,0.031,0.44,0.0033,0.016,6.0,19.0
,삼방동,15.0,35.0,0.013,0.54,0.0032,0.028,,
2023-12-16 16:00:00,삼방동,6.0,11.0,0.0391,0.27,0.0019,0.0077,12.0,16.0
2023-04-01 05:00:00,삼방동,33.0,59.0,0.049,0.38,0.003,0.011,4.0,5.0
2023-08-02 19:00:00,삼방동,11.0,19.0,0.03,0.26,0.0019,0.007,8.0,19.0
2023-08-16 05:00:00,삼방동,12.0,17.0,0.012,0.37,0.0014,0.007,8.0,5.0
2023-01-21 17:00:00,삼방동,4.0,,0.034,0.4,0.002,0.007,1.0,17.0
2023-06-10 20:00:00,삼방동,12.0,23.0,0.058,0.31,0.0026,0.01,6.0,20.0
2023-07-06 20:00:00,삼방동,19.0,33.0,0.062,0.55,,0.016,7.0,20.0
2023-01-02 10:00:00,삼방동,7.0,22.0,0.028,0.3,0.003,0.008,1.0,10.0
2023-04-06 23:00:00,삼방동,,,0.042,0.44,0.002,0.006,4.0,23.0
2023-04-07 07:00:00,삼방동,,,0.044,0.36,0.002,0.009,4.0,7.0
2023-12-27 19:00:00,삼방동,18.0,45.0,0.0068,0.46,0.0025,0.0426,12.0,19.0
2023-11-11 15:00:00,삼방동,7.0,19.0,0.035,0.28,0.0021,0.011,11.0,15.0
2023-02-11 19:00:00,삼방동,27.0,35.0,0.03,0.6,0.003,0.025,2.0,19.0
2023-03-17 18:00:00,삼방동,6.0,25.0,0.044,0.3,0.002,0.012,3.0,18.0
2023-02-13 07:00:00,삼방동,11.0,15.0,0.039,0.5,0.003,0.009,2.0,7.0
2023-02-21 03:00:00,삼방동,9.0,19.0,0.031,0.4,0.003,0.009,2.0,3.0
2023-08-20 20:00:00,삼방동,8.0,11.0,0.023,0.47,0.0016,0.009,8.0,20.0
2023-07-18 13:00:00,삼방동,10.0,11.0,0.031,0.4,0.0019,0.01,7.0,13.0
2023-01-09 21:00:00,삼방동,24.0,60.0,0.042,0.4,0.003,0.01,1.0,21.0
2023-05-10 05:00:00,삼방동,22.0,39.0,0.044,0.39,0.002,0.015,5.0,5.0
